Postcode;Dorp/ Plaats;Gemeente;Provincie
9342;Een;Noordenveld;Drenthe
9343;Een-West;Noordenveld;Drenthe
9350;Leek;Westerkwartier;Groningen
9351;Leek;Westerkwartier;Groningen
9354;Zevenhuizen;Westerkwartier;Groningen
9355;Midwolde;Westerkwartier;Groningen
9356;Tolbert;Westerkwartier;Groningen
9359;Boerakker;Westerkwartier;Groningen
9361;Boerakker;Westerkwartier;Groningen
9362;Boerakker;Westerkwartier;Groningen
9363;Marum;Westerkwartier;Groningen
9364;Nuis;Westerkwartier;Groningen
9365;Niebert;Westerkwartier;Groningen
9366;Jonkersvaart;Westerkwartier;Groningen
9367;De Wilp;Westerkwartier;Groningen
9400;Assen;Assen;Drenthe
9401;Assen;Assen;Drenthe
9402;Assen;Assen;Drenthe
9403;Assen;Assen;Drenthe
9404;Assen;Assen;Drenthe
9405;Assen;Assen;Drenthe
9406;Assen;Assen;Drenthe
9407;Assen;Assen;Drenthe
9408;Assen;Assen;Drenthe
9409;Loon;Assen;Drenthe
9410;Beilen;Midden-Drenthe;Drenthe
9411;Beilen;Midden-Drenthe;Drenthe
9412;Beilen;Midden-Drenthe;Drenthe
9413;Beilen;Midden-Drenthe;Drenthe
9414;Hooghalen;Midden-Drenthe;Drenthe
9415;Hijken;Midden-Drenthe;Drenthe
9416;Oranje;Midden-Drenthe;Drenthe
9417;Spier;Midden-Drenthe;Drenthe
9418;Wijster;Midden-Drenthe;Drenthe
9419;Drijber;Midden-Drenthe;Drenthe
9420;Bovensmilde;Midden-Drenthe;Drenthe
9421;Bovensmilde;Midden-Drenthe;Drenthe
9422;Smilde;Midden-Drenthe;Drenthe
9423;Hoogersmilde;Midden-Drenthe;Drenthe
9430;Westerbork;Midden-Drenthe;Drenthe
9431;Westerbork;Midden-Drenthe;Drenthe
9432;Zuidveld;Midden-Drenthe;Drenthe
9433;Zwiggelte;Midden-Drenthe;Drenthe
9434;Eursinge;Midden-Drenthe;Drenthe
9435;Bruntinge;Midden-Drenthe;Drenthe
9436;Mantinge;Midden-Drenthe;Drenthe
9437;Balinge;Midden-Drenthe;Drenthe
9438;Garminge;Midden-Drenthe;Drenthe
9439;Witteveen;Midden-Drenthe;Drenthe
9441;Orvelte;Midden-Drenthe;Drenthe
9442;Elp;Midden-Drenthe;Drenthe
9443;Schoonloo;Aa en Hunze;Drenthe
9444;Grolloo;Aa en Hunze;Drenthe
9445;Vredenheim;Aa en Hunze;Drenthe
9446;Amen;Aa en Hunze;Drenthe
9447;Papenvoort;Aa en Hunze;Drenthe
9448;Marwijksoord;Aa en Hunze;Drenthe
9449;Nooitgedacht;Aa en Hunze;Drenthe
9450;Rolde;Aa en Hunze;Drenthe
9451;Rolde;Aa en Hunze;Drenthe
9452;Nijlande;Aa en Hunze;Drenthe
9453;Eldersloo;Aa en Hunze;Drenthe
9454;Ekehaar;Aa en Hunze;Drenthe
9455;Geelbroek;Aa en Hunze;Drenthe
9456;Eleveld;Aa en Hunze;Drenthe
9457;Deurze;Aa en Hunze;Drenthe
9458;Balloo;Aa en Hunze;Drenthe
9459;Balloërveld;Aa en Hunze;Drenthe
9460;Gieten;Aa en Hunze;Drenthe
9461;Gieten;Aa en Hunze;Drenthe
9462;Gasselte;Aa en Hunze;Drenthe
9463;Eext;Aa en Hunze;Drenthe
9464;Eexterzandvoort;Aa en Hunze;Drenthe
9465;Anderen;Aa en Hunze;Drenthe
9466;Gasteren;Aa en Hunze;Drenthe
9467;Anloo;Aa en Hunze;Drenthe
9468;Annen;Aa en Hunze;Drenthe
9469;Schipborg;Aa en Hunze;Drenthe
9470;Zuidlaren;Tynaarlo;Drenthe
9471;Zuidlaren;Tynaarlo;Drenthe
9472;Zuidlaren;Tynaarlo;Drenthe
9473;De Groeve;Tynaarlo;Drenthe
9474;Zuidlaarderveen;Tynaarlo;Drenthe
9475;Midlaren;Tynaarlo;Drenthe
9479;Noordlaren;Groningen;Groningen
9480;Vries;Tynaarlo;Drenthe
9481;Vries;Tynaarlo;Drenthe
9482;Tynaarlo;Tynaarlo;Drenthe
9483;Zeegse;Tynaarlo;Drenthe
9484;Oudemolen;Tynaarlo;Drenthe
9485;Taarlo;Tynaarlo;Drenthe
9486;Rhee;Assen;Drenthe
9487;Ter Aard;Assen;Drenthe
9488;Zeijerveld;Assen;Drenthe
9489;Zeijerveen;Assen;Drenthe
9491;Zeijen;Tynaarlo;Drenthe
9492;Ubbena;Assen;Drenthe
9493;De Punt;Tynaarlo;Drenthe
9494;Yde;Tynaarlo;Drenthe
9495;Winde;Tynaarlo;Drenthe
9496;Bunne;Tynaarlo;Drenthe
9497;Donderen;Tynaarlo;Drenthe
9500;Stadskanaal;Stadskanaal;Groningen
9501;Stadskanaal;Stadskanaal;Groningen
9502;Stadskanaal;Stadskanaal;Groningen
9503;Stadskanaal;Stadskanaal;Groningen
9511;Gieterveen;Aa en Hunze;Drenthe
9512;Nieuwediep;Aa en Hunze;Drenthe
9514;Gasselternijveen;Aa en Hunze;Drenthe
9515;Gasselternijveenschemond;Aa en Hunze;Drenthe
9520;Nieuw-Buinen;Borger-Odoorn;Drenthe
9521;Nieuw-Buinen;Borger-Odoorn;Drenthe
9523;Drouwenermond;Borger-Odoorn;Drenthe
9524;Buinerveen;Borger-Odoorn;Drenthe
9525;Drouwenerveen;Borger-Odoorn;Drenthe
9526;Bronnegerveen;Borger-Odoorn;Drenthe
9527;Bronneger;Borger-Odoorn;Drenthe
9528;Buinen;Borger-Odoorn;Drenthe
9530;Borger;Borger-Odoorn;Drenthe
9531;Borger;Borger-Odoorn;Drenthe
9533;Drouwen;Borger-Odoorn;Drenthe
9534;Westdorp;Borger-Odoorn;Drenthe
9535;Ellertshaar;Borger-Odoorn;Drenthe
9536;Ees;Borger-Odoorn;Drenthe
9537;Eesergroen;Borger-Odoorn;Drenthe
9540;Vlagtwedde;Westerwolde;Groningen
9541;Vlagtwedde;Westerwolde;Groningen
9545;Bourtange;Westerwolde;Groningen
9550;Sellingen;Westerwolde;Groningen
9551;Sellingen;Westerwolde;Groningen
9560;Ter Apel;Westerwolde;Groningen
9561;Ter Apel;Westerwolde;Groningen
9563;Ter Apelkanaal;Westerwolde;Groningen
9564;Zandberg;Borger-Odoorn;Drenthe
9566;Veelerveen;Westerwolde;Groningen
9571;2e Exloërmond;Borger-Odoorn;Drenthe
9573;1e Exloërmond;Borger-Odoorn;Drenthe
9574;Exloërveen;Borger-Odoorn;Drenthe
9580;Musselkanaal;Stadskanaal;Groningen
9581;Musselkanaal;Stadskanaal;Groningen
9584;Mussel;Stadskanaal;Groningen
9585;Vledderveen;Stadskanaal;Groningen
9591;Onstwedde;Stadskanaal;Groningen
9600;Hoogezand;Midden-Groningen;Groningen
9601;Hoogezand;Midden-Groningen;Groningen
9602;Hoogezand;Midden-Groningen;Groningen
9603;Hoogezand;Midden-Groningen;Groningen
9605;Kiel-Windeweer;Midden-Groningen;Groningen
9606;Kropswolde;Midden-Groningen;Groningen
9607;Foxhol;Midden-Groningen;Groningen
9608;Westerbroek;Midden-Groningen;Groningen
9609;Waterhuizen;Midden-Groningen;Groningen
9610;Sappemeer;Midden-Groningen;Groningen
9611;Sappemeer;Midden-Groningen;Groningen
9613;Meerstad;Groningen;Groningen
9614;Harkstede GN;Groningen;Groningen
9615;Kolham;Midden-Groningen;Groningen
9616;Scharmer;Midden-Groningen;Groningen
9617;Harkstede;Midden-Groningen;Groningen
9618;Woudbloem;Midden-Groningen;Groningen
9619;Froombosch;Midden-Groningen;Groningen
9620;Slochteren;Midden-Groningen;Groningen
9621;Slochteren;Midden-Groningen;Groningen
9622;Lageland GN;Groningen;Groningen
9623;Lageland;Midden-Groningen;Groningen
9624;Luddeweer;Midden-Groningen;Groningen
9625;Overschild;Midden-Groningen;Groningen
9626;Schildwolde;Midden-Groningen;Groningen
9627;Hellum;Midden-Groningen;Groningen
9628;Siddeburen;Midden-Groningen;Groningen
9629;Steendam;Midden-Groningen;Groningen
9631;Borgercompagnie;Veendam;Groningen
9632;Borgercompagnie;Midden-Groningen;Groningen
9633;Tripscompagnie;Midden-Groningen;Groningen
9635;Noordbroek;Midden-Groningen;Groningen
9636;Zuidbroek;Midden-Groningen;Groningen
9640;Veendam;Veendam;Groningen
9641;Veendam;Veendam;Groningen
9642;Veendam;Veendam;Groningen
9644;Veendam;Veendam;Groningen
9645;Veendam;Veendam;Groningen
9646;Veendam;Veendam;Groningen
9648;Wildervank;Veendam;Groningen
9649;Muntendam;Midden-Groningen;Groningen
9651;Meeden;Midden-Groningen;Groningen
9654;Annerveenschekanaal;Aa en Hunze;Drenthe
9655;Oud Annerveen;Aa en Hunze;Drenthe
9656;Spijkerboor;Aa en Hunze;Drenthe
9657;Nieuw Annerveen;Aa en Hunze;Drenthe
9658;Eexterveen;Aa en Hunze;Drenthe
9659;Eexterveenschekanaal;Aa en Hunze;Drenthe
9661;Alteveer;Stadskanaal;Groningen
9663;Nieuwe Pekela;Pekela;Groningen
9665;Oude Pekela;Pekela;Groningen
9670;Winschoten;Oldambt;Groningen
9671;Winschoten;Oldambt;Groningen
9672;Winschoten;Oldambt;Groningen
9673;Winschoten;Oldambt;Groningen
9674;Winschoten;Oldambt;Groningen
9675;Winschoten;Oldambt;Groningen
9677;Heiligerlee;Oldambt;Groningen
9678;Westerlee;Oldambt;Groningen
9679;Scheemda;Oldambt;Groningen
9681;Midwolda;Oldambt;Groningen
9682;Oostwold;Oldambt;Groningen
9684;Finsterwolde;Oldambt;Groningen
9685;Blauwestad;Oldambt;Groningen
9686;Beerta;Oldambt;Groningen
9687;Nieuw Beerta;Oldambt;Groningen
9688;Drieborg;Oldambt;Groningen
9691;Oudezijl;Oldambt;Groningen
9693;Bad Nieuweschans;Oldambt;Groningen
9695;Bellingwolde;Westerwolde;Groningen
9696;Oudeschans;Westerwolde;Groningen
9697;Blijham;Westerwolde;Groningen
9698;Wedde;Westerwolde;Groningen
9699;Vriescheloo;Westerwolde;Groningen
9700;Groningen;Groningen;Groningen
9701;Groningen;Groningen;Groningen
9702;Groningen;Groningen;Groningen
9703;Groningen;Groningen;Groningen
9704;Groningen;Groningen;Groningen
9711;Groningen;Groningen;Groningen
9712;Groningen;Groningen;Groningen
9713;Groningen;Groningen;Groningen
9714;Groningen;Groningen;Groningen
9715;Groningen;Groningen;Groningen
9716;Groningen;Groningen;Groningen
9717;Groningen;Groningen;Groningen
9718;Groningen;Groningen;Groningen
9721;Groningen;Groningen;Groningen
9722;Groningen;Groningen;Groningen
9723;Groningen;Groningen;Groningen
9724;Groningen;Groningen;Groningen
9725;Groningen;Groningen;Groningen
9726;Groningen;Groningen;Groningen
9727;Groningen;Groningen;Groningen
9728;Groningen;Groningen;Groningen
9731;Groningen;Groningen;Groningen
9732;Groningen;Groningen;Groningen
9733;Groningen;Groningen;Groningen
9734;Groningen;Groningen;Groningen
9735;Groningen;Groningen;Groningen
9736;Groningen;Groningen;Groningen
9737;Groningen;Groningen;Groningen
9738;Groningen;Groningen;Groningen
9741;Groningen;Groningen;Groningen
9742;Groningen;Groningen;Groningen
9743;Groningen;Groningen;Groningen
9744;Groningen;Groningen;Groningen
9745;Groningen;Groningen;Groningen
9746;Groningen;Groningen;Groningen
9747;Groningen;Groningen;Groningen
9749;Matsloot;Noordenveld;Drenthe
9750;Haren;Oss;Noord-Brabant
9751;Haren Gn;Groningen;Groningen
9752;Haren Gn;Groningen;Groningen
9753;Haren Gn;Groningen;Groningen
9755;Onnen;Groningen;Groningen
9756;Glimmen;Groningen;Groningen
9760;Eelde;Tynaarlo;Drenthe
9761;Eelde;Tynaarlo;Drenthe
9765;Paterswolde;Tynaarlo;Drenthe
9766;Eelderwolde;Tynaarlo;Drenthe
9771;Sauwerd;Het Hogeland;Groningen
9773;Wetsinge;Het Hogeland;Groningen
9774;Adorp;Het Hogeland;Groningen
9780;Bedum;Het Hogeland;Groningen
9781;Bedum;Het Hogeland;Groningen
9784;Noordwolde;Het Hogeland;Groningen
9785;Zuidwolde;Het Hogeland;Groningen
9790;Ten Boer;Groningen;Groningen
9791;Ten Boer;Groningen;Groningen
9792;Ten Post;Groningen;Groningen
9793;Winneweer;Groningen;Groningen
9794;Lellens;Groningen;Groningen
9795;Woltersum;Groningen;Groningen
9796;Sint Annen;Groningen;Groningen
9797;Thesinge;Groningen;Groningen
9798;Garmerwolde;Groningen;Groningen
9800;Zuidhorn;Westerkwartier;Groningen
9801;Zuidhorn;Westerkwartier;Groningen
9804;Noordhorn;Westerkwartier;Groningen
9805;Briltil;Westerkwartier;Groningen
9811;Enumatil;Westerkwartier;Groningen
9812;Enumatil;Westerkwartier;Groningen
9821;Oldekerk;Westerkwartier;Groningen
9822;Niekerk;Westerkwartier;Groningen
9824;Noordwijk;Westerkwartier;Groningen
9825;Lucaswolde;Westerkwartier;Groningen
9827;Lettelbert;Westerkwartier;Groningen
9828;Oostwold;Westerkwartier;Groningen
9831;Aduard;Westerkwartier;Groningen
9832;Den Horn;Westerkwartier;Groningen
9833;Den Ham;Westerkwartier;Groningen
9841;Niezijl;Westerkwartier;Groningen
9842;Niezijl;Westerkwartier;Groningen
9843;Grijpskerk;Westerkwartier;Groningen
9844;Pieterzijl;Westerkwartier;Groningen
9845;Visvliet;Westerkwartier;Groningen
9851;Burum;Noardeast-Fryslân;Friesland
9852;Warfstermolen;Noardeast-Fryslân;Friesland
9853;Munnekezijl;Noardeast-Fryslân;Friesland
9860;Grootegast;Westerkwartier;Groningen
9861;Grootegast;Westerkwartier;Groningen
9862;Sebaldeburen;Westerkwartier;Groningen
9863;Doezum;Westerkwartier;Groningen
9864;Kornhorn;Westerkwartier;Groningen
9865;Opende;Westerkwartier;Groningen
9866;Lutjegast;Westerkwartier;Groningen
9871;Stroobos;Achtkarspelen;Friesland
9872;Stroobos;Achtkarspelen;Friesland
9873;Gerkesklooster;Achtkarspelen;Friesland
9881;Kommerzijl;Westerkwartier;Groningen
9882;Kommerzijl;Westerkwartier;Groningen
9883;Oldehove;Westerkwartier;Groningen
9884;Niehove;Westerkwartier;Groningen
9885;Lauwerzijl;Westerkwartier;Groningen
9886;Saaksum;Westerkwartier;Groningen
